Lipid,MEDM-consensus,MEDM-StdUncertainty,Note
FFA 16:0,43,13,
FFA 16:1,6.1,2.9,
FFA 18:0,15,9,
FFA 18:1,110,53,
FFA 18:2,44,22,
FFA 18:3,2.9,0.62,
FFA 20:3,1.3,0.62,
FFA 20:4,4.7,1.5,
FFA 20:5,0.42,0.056,
FFA 22:5,1.1,0.56,
FFA 22:6,1.5,0.17,
DAG 30:0,0.83,0.17,
DAG 32:0,2.6,1.2,
DAG 32:1,1.2,0.62,
DAG 32:2,0.62,0.29,
DAG 34:0,6.5,3.6,
DAG 34:1,6.1,2.4,
DAG 34:2,4.4,1.9,
DAG 34:3,0.31,0.2,
"11,12-DiHETrE",1,,
DAG 36:0,1.6,0.98,
DAG 36:1,2.6,1.1,
DAG 36:2,6.2,2.2,
DAG 36:3,8.4,3.3,
DAG 36:4,2.8,1,
11-HDoHE,0.61,,
DAG 36:5,0.89,0.54,
DAG 38:0,0.24,0.13,
DAG 38:1,0.51,0.39,
DAG 38:2,1.5,1.2,
DAG 38:3,1.3,1,
DAG 38:4,0.95,0.38,
DAG 38:5,1.8,0.82,
DAG 38:6,0.77,0.37,
DAG 40:5,0.084,0.053,
DAG 40:6,0.28,0.17,
DAG 40:7,0.89,0.68,
TAG 42:0,0.38,0.19,
TAG 42:1,0.37,0.17,
TAG 42:2,0.16,0.064,
TAG 44:0,1.2,0.73,
TAG 44:1,1.7,0.84,
TAG 44:2,0.9,0.4,
TAG 46:0,2.8,1.6,
TAG 46:1,5.7,2.6,
TAG 46:2,3.6,1.3,
TAG 46:3,0.76,0.34,
TAG 48:0,4.5,1.2,
TAG 48:1,13,3.2,
TAG 48:2,16,2.8,
TAG 48:3,3.3,1.3,
TAG 48:4,1.3,0.23,
TAG 49:1,2,0.42,
TAG 49:2,1.8,0.56,
TAG 50:0,3.8,0.83,
TAG 50:1,38,10,
TAG 50:2,47,12,
TAG 50:3,23,6.6,
TAG 50:4,8.7,2.9,
TAG 50:5,1.6,0.64,
TAG 51:1,1.8,0.48,
TAG 51:2,4.8,1.1,
TAG 51:3,4.8,1.9,
TAG 51:4,1.4,0.62,
TAG 52:0,3.4,1.8,
TAG 52:1,14,2.9,
TAG 52:2,44,14,
TAG 52:3,100,29,
TAG 52:4,48,17,
TAG 52:5,15,5.7,
TAG 52:6,4,1.4,
TAG 52:7,0.39,0.13,
TAG 53:2,1.9,0.41,
TAG 53:3,3.7,1.1,
